YEARMODA,TEMP,VISIB,WDSP,DEWP,MAX,MIN,PRCP,SNDP,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,RH
2013-01-01,-6.9,15.9,4.4,-13.4,1.7,-10.6,0,0,0,0,0,0,0,0,50
2013-01-02,-8.3,16.1,3.2,-15.2,-1.1,-12.2,0,0,0,0,0,0,0,0,66.7
2013-01-03,-3.4,14,4.8,-7.4,-1.1,-12.2,0,0,0,0,1,0,0,0,80
2013-01-04,-5.3,16.1,6.2,-9.7,2.2,-10.6,0,0,0,0,0,0,0,0,75
2013-01-05,-1.6,13.5,3.7,-5.1,3.9,-10.6,0,0,0,1,1,0,0,0,80
2013-01-06,-0.2,13,6.5,-3.1,3.9,-7.7,0.8,0,0,1,1,0,0,0,83.3
2013-01-07,-3.1,14.8,4.9,-7.1,5,-9.4,0,0,0,0,0,0,0,0,80
2013-01-08,0.2,13.7,3.8,-3.8,6.7,-9.4,0,0,0,0,0,0,0,0,83.3
2013-01-09,4.4,16.1,7.4,-2.7,10,-4.9,0,0,0,0,0,0,0,0,62.5
2013-01-10,1.3,16.1,3,-4.6,10,-5.6,0,0,0,1,0,0,0,0,57.1
2013-01-11,7.7,9.5,5.3,6.9,11.1,3,22.9,0,0,1,0,0,0,0,90.9
2013-01-12,8.7,16.1,7.1,5.3,11.7,1.1,0.8,0,0,0,0,0,0,0,81.8
2013-01-13,-2.3,13.7,4.4,-4.7,1.1,-6.7,0,0,0,1,1,0,0,0,80
2013-01-14,-8.3,16.1,4.6,-12.9,-1.1,-11.1,2.5,0,0,0,1,0,0,0,66.7
2013-01-15,-5.7,16.1,1.2,-11.2,-0.6,-11.1,0,0,0,0,0,0,0,0,75
2013-01-16,-3.8,15.8,4.4,-8.7,2.2,-8.9,0,0,0,0,0,0,0,0,60
2013-01-17,-1.6,16.1,5.1,-8.7,2.2,-8.9,0,0,0,0,0,0,0,0,60
2013-01-18,-2.7,16.1,4.6,-8.2,6.1,-7.2,0,0,0,0,0,0,0,0,60
2013-01-19,4.4,15.4,7.4,-1.3,8.3,2.8,0,0,0,0,0,0,0,0,75
2013-01-20,-3.8,16.1,7.8,-14.6,6.7,-10.5,0,0,0,0,0,0,0,0,40
2013-01-21,-10.9,16.1,6.7,-19.1,-7.8,-13.3,0,0,0,0,0,0,0,0,33.3
2013-01-22,-14.9,16.1,5.5,-22.6,-11.7,-18.3,0,0,0,0,0,0,0,0,50
2013-01-23,-10.4,14.3,5,-18.6,-5,-12.8,0,0,0,0,1,0,0,0,33.3
2013-01-24,-10.2,15.1,4.9,-16.4,-5.5,-15,0.3,0,0,0,1,0,0,0,66.7
2013-01-25,-6,13.4,5.4,-12.4,-2.2,-15,0,30.5,0,0,1,0,0,0,50
2013-01-26,-6.2,15.8,3.4,-13.3,-2.2,-10.6,1.5,30.5,0,0,0,0,0,0,50
2013-01-27,-3,13.7,5.2,-7.6,0,-10,0,0,0,1,1,0,0,0,60
2013-01-28,5.2,8,6,4.1,9,0,14.7,0,0,1,0,0,1,0,88.9
2013-01-29,11,9.2,6.3,10.1,17.2,2.8,2,0,1,1,0,0,1,0,92.3
2013-01-30,5.1,7.9,4.2,4.4,13,-2,34.5,0,0,1,1,0,0,0,88.9
2013-01-31,-7.2,12.2,8.1,-11.5,-1.7,-10.5,11.4,0,0,0,1,0,0,0,75
2013-02-01,-14,16.1,7.3,-19.3,-10.5,-17.2,0,0,0,0,0,0,0,0,50
2013-02-02,-8.8,9.8,4.1,-11.7,-5,-13.3,0.5,50.8,0,0,1,0,0,0,66.7
2013-02-03,-10.2,13,3.8,-14.3,-5,-13.3,0.3,30.5,0,0,1,0,0,0,66.7
2013-02-04,-5,9.8,4,-7.3,-2,-7.2,5.1,78.7,0,0,1,0,0,0,100
2013-02-05,-6.6,12.6,4,-9.2,1.1,-14.4,0.5,99.1,0,0,1,0,0,0,75
2013-02-06,-3.2,15.3,3,-7.1,2.2,-14.4,1,50.8,0,0,0,0,0,0,80
2013-02-07,0.7,7.7,3.7,-1.2,1.7,-0.6,0,78.7,1,1,1,0,0,0,100
2013-02-08,-2.1,11.9,6.1,-3.6,1.1,-5,24.4,78.7,0,0,1,0,0,0,100
2013-02-09,-2.8,15.9,2.7,-5.7,0.6,-6.7,0,78.7,0,0,0,0,0,0,80
2013-02-10,1.1,13.4,5.4,-1.1,7,-3.3,2.8,30.5,0,1,0,0,0,0,85.7
2013-02-11,3.3,16.1,11.8,-0.8,9.4,-1,7.4,78.7,0,0,0,0,0,0,75
2013-02-12,-2.4,16.1,6,-6.8,7.2,-4.4,0,0,0,0,0,0,0,0,80
2013-02-13,-1.7,13.8,2.4,-4.9,6.7,-7.2,0,0,0,0,0,0,0,0,80
2013-02-14,2.8,16.1,5.3,-1.1,3.3,1.7,0,0,0,1,0,0,0,0,85.7
2013-02-15,-1.1,15.9,4.9,-8.3,3.9,-5,0,0,0,0,1,0,0,0,50
2013-02-16,-7.2,16.1,5.1,-14.4,0.6,-10.6,0,0,0,0,1,0,0,0,50
2013-02-17,-8.4,16.1,2.2,-17.1,-1.1,-12.8,0,0,0,0,0,0,0,0,66.7
2013-02-18,2.2,15.9,6.4,-4.9,11.1,-12.2,0,0,0,1,0,0,0,0,57.1
2013-02-19,-4.3,11.4,9.5,-7.5,11.1,-10,7.4,0,0,1,1,0,0,0,75
2013-02-20,-9.7,15.9,5.9,-15.4,-1.1,-13.3,0,0,0,0,1,0,0,0,66.7
2013-02-21,-4.9,16.1,3.6,-9.1,0,-12.8,0,0,0,0,0,0,0,0,75
2013-02-22,-2.3,7.9,6.1,-4.4,1.1,-7.2,6.9,50.8,1,1,1,0,0,0,80
2013-02-23,-2.9,14.8,5.2,-6.4,1.1,-5,5.1,50.8,0,0,1,0,0,0,80
2013-02-24,-3.4,16.1,2.8,-8.1,3.9,-8.3,0,30.5,0,0,0,0,0,0,60
2013-02-25,-0.4,16.1,1.4,-5.4,6.1,-8.3,0,30.5,0,0,0,0,0,0,66.7
2013-02-26,1.2,12.2,7.3,-2.3,6.1,-6.6,0,99.1,1,0,1,0,0,0,71.4
2013-02-27,0.8,7.1,5.5,-0.2,2.2,0,13.5,99.1,0,1,1,0,0,0,100
2013-02-28,0.8,10.6,5.9,-1.1,1.7,-0.6,2.8,78.7,0,0,1,0,0,0,100
2013-03-01,-2.4,13.7,6,-5.5,1.7,-3.3,0.5,78.7,0,0,1,0,0,0,80
2013-03-02,-3.1,15.8,5.8,-7.6,-0.6,-5,0.3,78.7,0,0,1,0,0,0,60
2013-03-03,-4.9,16.1,3,-12,1.1,-9.4,0,78.7,0,0,0,0,0,0,50
2013-03-04,-3.4,16.1,2.8,-8.4,1.1,-9.4,0,78.7,0,0,0,0,0,0,60
2013-03-05,0.1,9.3,4.9,-2.9,1.1,-7.8,0,231.1,1,0,1,0,0,0,83.3
2013-03-06,-0.8,12.1,6.2,-3.2,1.1,-2.2,16.8,231.1,0,0,1,0,0,0,83.3
2013-03-07,0.3,16.1,2.8,-4.8,4.4,-3.3,0,149.9,0,0,1,0,0,0,66.7
2013-03-08,-0.1,16.1,2.4,-4.1,4.4,-7.2,0,129.5,0,0,0,0,0,0,83.3
2013-03-09,1.6,15.8,4.8,-2.9,5,-5.6,0,129.5,0,1,1,0,0,0,71.4
2013-03-10,5.9,11.9,3.7,3.7,9.4,-1,11.9,30.5,0,1,0,0,0,0,88.9
2013-03-11,5.8,11.1,4.3,5.1,10.6,1,11.2,0,1,1,0,0,0,0,100
2013-03-12,0.3,14.8,6.1,-2.8,2.2,-2,2.5,0,0,0,1,0,0,0,83.3
2013-03-13,-2.3,15.4,6.9,-8.2,2.8,-5.6,1.3,0,0,0,1,0,0,0,60
2013-03-14,-1.7,16.1,2.7,-8.1,2.8,-5,0,0,0,0,0,0,0,0,60
2013-03-15,1.4,13.7,2.5,-0.7,5,-5,0,0,0,1,0,0,0,0,85.7
2013-03-16,0.6,10.9,4.8,-0.8,5,-1.1,5.1,0,0,1,1,0,0,0,100
2013-03-17,-0.9,16.1,4.7,-6.4,1.7,-3.3,0,0,0,0,0,0,0,0,66.7
2013-03-18,-0.2,11.1,4.9,-3.2,1.7,-3.3,0.5,0,0,1,1,0,0,0,83.3
2013-03-19,-4.4,15.8,9.7,-10.3,1.7,-8.3,1.5,0,0,0,1,0,0,0,75
2013-03-20,-5.8,16.1,7.6,-13.2,0,-10,0,0,0,0,0,0,0,0,50
2013-03-21,-5.6,16.1,4.5,-13.2,0.6,-10,0,0,0,0,0,0,0,0,50
2013-03-22,-2.1,16.1,2.5,-9.9,5,-10,0,0,0,0,0,0,0,0,60
2013-03-23,0.2,16.1,2.4,-6.3,5,-6.7,0,0,0,0,0,0,0,0,66.7
2013-03-24,1,16.1,6.7,-4.3,5,-3.8,0,0,0,0,1,0,0,0,57.1
2013-03-25,1,15.4,8.5,-3.3,3.3,0,0.3,0,0,0,1,0,0,0,71.4
2013-03-26,1.8,15.9,4.2,-4.7,6.1,-1.7,0,0,0,0,1,0,0,0,57.1
2013-03-27,2.9,16.1,3.6,-4.8,6.1,-1.6,0,0,0,0,0,0,0,0,50
2013-03-28,3.4,16.1,2.5,-6.1,10.6,-2.2,0,0,0,0,0,0,0,0,50
2013-03-29,6.2,16.1,1.4,-5.3,12.8,-2.1,0,0,0,0,0,0,0,0,44.4
2013-03-30,5.8,16.1,3.5,-1.8,15,-2.2,0,0,0,0,0,0,0,0,55.6
2013-03-31,9.6,14.2,5.9,3.6,15,-2.1,0,0,0,1,0,0,0,0,66.7
2013-04-01,2.3,16.1,6.1,-7.3,15,-1.7,0,0,0,0,0,0,0,0,57.1
2013-04-02,1.1,16.1,4.3,-10.2,7.2,-3.9,0,0,0,0,0,0,0,0,42.9
2013-04-03,1.7,16.1,3.3,-9.4,7.2,-3.9,0,0,0,0,0,0,0,0,42.9
2013-04-04,3.9,16.1,3.4,-6.9,14.4,-3.9,0,0,0,0,0,0,0,0,50
2013-04-05,6.6,16.1,4.8,-2.9,14.4,-3.8,0,0,0,0,0,0,0,0,50
2013-04-06,8.3,16.1,7.2,-2.3,21.1,2.2,0,0,0,1,0,0,0,0,45.5
2013-04-07,11.7,16.1,6.3,4.1,21.1,2.2,1,0,0,1,0,0,1,0,57.1
2013-04-08,10.2,14.8,6,5.7,17.8,4.4,8.4,0,0,1,0,0,1,0,75
2013-04-09,6.6,12.1,4.5,4.9,17.8,3.9,6.6,0,0,1,0,0,1,0,90
2013-04-10,4.4,12.7,6.8,3.4,6.1,3,3.3,0,0,1,1,1,1,0,100
2013-04-11,5.2,7.6,5.6,4.6,8,3.3,24.9,0,0,1,0,0,1,0,88.9
2013-04-12,5,13,5.1,2.8,7.8,2.8,4.3,0,0,1,0,0,0,0,77.8
2013-04-13,3.7,15.6,6.7,-1.9,7.2,1.1,0,0,0,0,1,0,0,0,62.5
2013-04-14,7.4,16.1,4.7,0.3,20.6,1.7,0,0,0,1,0,0,0,0,60
2013-04-15,15.9,16.1,8,9.6,20.6,3.3,1,0,0,1,0,0,0,0,66.7
2013-04-16,8.4,15.8,3,3.2,18.9,4.4,8.1,0,0,1,0,0,0,0,72.7
2013-04-17,6.3,13.2,5.1,2.3,14.4,4.4,0.3,0,0,1,1,1,1,0,70
2013-04-18,11.2,9.3,4.7,10.5,17.2,5.6,119.1,0,1,1,0,0,1,0,100
2013-04-19,4.9,15.6,9.5,0.7,17.2,2.2,21.8,0,0,1,1,0,0,0,66.7
2013-04-20,2.8,14.8,5.1,-4.9,8.3,-0.6,0.3,0,0,0,1,0,0,0,57.1
2013-04-21,4.7,16.1,4.6,-4.7,12.2,-1.7,0,0,0,0,0,0,0,0,44.4
2013-04-22,10.8,16.1,4.7,0,19.4,-1.6,0,0,0,0,0,0,0,0,46.2
2013-04-23,11.8,14.5,4.2,6.4,19.4,3.3,0.3,0,0,1,0,0,0,0,71.4
2013-04-24,5.2,15.4,4.7,0.6,15,2.8,18.5,0,0,1,0,0,0,0,66.7
2013-04-25,7.2,16.1,6.5,0,10.6,2.8,1.8,0,0,1,0,0,0,0,60
2013-04-26,9.6,16.1,4.7,1.6,19.4,1.1,0,0,0,0,0,0,0,0,58.3
2013-04-27,14,16.1,3.3,6.2,20,1.1,0,0,0,0,0,0,0,0,56.2
2013-04-28,14.3,14.2,2.7,8.4,20,6.1,0.8,0,0,1,0,0,0,0,68.8
2013-04-29,15.6,15.3,4,10.6,23.3,8.3,0,0,0,0,0,0,0,0,72.2
2013-04-30,20.9,16.1,7.9,12.7,29.4,16.7,0,0,0,0,0,0,0,0,60
2013-05-01,23.6,16.1,5.1,13.2,29.4,16.1,0,0,0,0,0,0,0,0,51.7
2013-05-02,12.4,16.1,5.7,6.6,28.9,6.7,0,0,0,1,0,0,0,0,71.4
2013-05-03,6.4,14.8,6.4,4.4,9.4,4,2.8,0,0,1,0,0,0,0,80
2013-05-04,13,16.1,3.7,7.7,21.7,4.4,1.3,0,0,0,0,0,0,0,73.3
2013-05-05,14.5,16.1,3.8,6.4,21.7,8.9,0.5,0,0,0,0,0,0,0,58.8
